LAS> print moment 200 1400
 1      0.000      0.000   68.086       816.59       204.39    
 2      0.000      0.000   49.725       791.06       207.63    
 3      0.000      0.000   29.634       734.66       0.0000    
 4      0.000      0.000   20.936       602.29       0.0000    
 5      0.000      0.000   17.972       788.87       128.13    
 6      0.000      0.000   30.821       732.98       95.029    
 7      0.000      0.000   46.084       831.74       213.26    
 8      0.000      0.000   40.585       861.55       218.25    
 9      0.000      0.000   20.487       925.15       0.0000    
 10      0.000      0.000   14.972       762.90       312.61    
 11      0.000      0.000   19.868       878.40       327.58    
 12      0.000      0.000   25.689       882.25       308.87    
 13      0.000      0.000   40.706       900.22       173.44    
 14      0.000      0.000   47.054       896.64       138.49    
 15      0.000      0.000   49.913       856.05       139.84    
 16      0.000      0.000   36.212       785.93       140.32    
 17      0.000      0.000   21.433       747.42       185.11    
 18      0.000      0.000   12.995       616.68       0.0000    
 19      0.000      0.000   16.216       773.63       282.71    
 20      0.000      0.000   8.9196       515.70       0.0000    
 21      0.000      0.000   3.9184       434.21       0.0000    
 22      0.000      0.000   2.1229       978.34       0.0000    
 23      0.000      0.000   1.5503       274.34       0.0000    
 24      0.000      0.000   3.9958       763.84       0.0000    
 25      0.000      0.000   6.5070       923.79       0.0000    
 26      0.000      0.000   7.1626       836.31       132.96    
 27      0.000      0.000   4.9558       1021.6       0.0000    
 28      0.000      0.000   22.746       916.66       50.942    
 29      0.000      0.000   12.215       1009.5       0.0000    
 30      0.000      0.000   13.637       804.43       437.04    
 31      0.000      0.000   3.1345       1346.0       0.0000    
 32      0.000      0.000   3.9636       1053.5       0.0000    
 33      0.000      0.000   2.3487       828.48       204.39    
 34      0.000      0.000  -1.0778       2513.6       0.0000    
 35      0.000      0.000   3.5183       1168.3       0.0000    
 36      0.000      0.000   2.7927       863.83       0.0000    
 37      0.000      0.000   1.8715       798.26       0.0000    
 38      0.000      0.000  -2.6545      -13.274       0.0000    
 39      0.000      0.000 -0.28184       5257.0       0.0000    
 40      0.000      0.000  0.14743      -9609.0       0.0000    
 41      0.000      0.000  0.81259      -1480.9       0.0000    
 42      0.000      0.000  0.25911       2642.7       0.0000    
 43      0.000      0.000  -1.1542       903.10       882.53    
 44      0.000      0.000   2.8891       1287.1       0.0000    
 45      0.000      0.000  0.15533      -7925.6       0.0000    
 46      0.000      0.000  -1.3549       489.50       0.0000    
 47      0.000      0.000  -2.4682       445.62       0.0000    
 48      0.000      0.000   1.1571       360.80       0.0000    
 49      0.000      0.000   2.8524       890.40       0.0000    
 50      0.000      0.000  0.89020       313.35       0.0000    
 51      0.000      0.000  0.88577      -50.699       0.0000    
 52      0.000      0.000   2.0978       931.23       0.0000    
 53      0.000      0.000  0.79962       475.84       0.0000    
 54      0.000      0.000  0.20371      -4218.5       0.0000    
 55      0.000      0.000   1.3700      -316.27       0.0000    
 56      0.000      0.000 -3.19733E-02   20094.       0.0000    
 57      0.000      0.000  -1.2654       1713.4       0.0000    
 58      0.000      0.000   1.7338       340.36       0.0000    
 59      0.000      0.000   1.1904       1179.6       0.0000    
 60      0.000      0.000 -0.29948       275.95       2078.0    
 61      0.000      0.000  -1.1465       43.849       0.0000    
 62      0.000      0.000   3.4657       1338.6       0.0000    
 63      0.000      0.000   1.8805       1197.8       0.0000    
 64      0.000      0.000  0.21207      -9583.8       0.0000    
 65      0.000      0.000   3.4351       739.06       0.0000    
 66      0.000      0.000   3.7614       797.20       286.06    
 67      0.000      0.000   5.7263       841.55       133.79    
 68      0.000      0.000   4.9721       813.06       0.0000    
 69      0.000      0.000   17.491       938.03       252.94    
 70      0.000      0.000   7.5022       945.06       0.0000    
 71      0.000      0.000   15.992       973.10       0.0000    
 72      0.000      0.000   11.272       1000.7       0.0000    
 73      0.000      0.000   6.0590       600.63       0.0000    
 74      0.000      0.000   10.125       1107.5       0.0000    
 75      0.000      0.000   13.148       998.00       0.0000    
 76      0.000      0.000   23.246       869.87       227.54    
 77      0.000      0.000   11.765       599.33       0.0000    
 78      0.000      0.000   8.6741       670.00       0.0000    
 79      0.000      0.000   7.3214       627.94       0.0000    
 80      0.000      0.000   4.7961       392.58       0.0000    
 81      0.000      0.000   4.8985       794.96       0.0000    
 82      0.000      0.000   12.329       618.91       0.0000    
 83      0.000      0.000   8.0791       546.03       0.0000    
 84      0.000      0.000   8.4760       692.50       0.0000    
 85      0.000      0.000   1.6267      -1266.5       0.0000    
 86      0.000      0.000   1.5745       40.790       0.0000    
 87      0.000      0.000   4.2430       232.35       0.0000    
 88      0.000      0.000   10.296       850.77       292.23    
 89      0.000      0.000   4.1376       591.40       0.0000    
 90      0.000      0.000   3.1204       1361.8       0.0000    
 91      0.000      0.000   2.6726       1136.9       0.0000    
 92      0.000      0.000   2.3769       584.26       0.0000    
 93      0.000      0.000   4.0361       1150.6       0.0000    
 94      0.000      0.000   1.2678       1902.4       0.0000    
 95      0.000      0.000   3.9594       511.49       0.0000    
 96      0.000      0.000 -0.12812      -629.72       0.0000    
 97      0.000      0.000   2.9298       669.87       0.0000    
 98      0.000      0.000   2.0869       1167.1       0.0000    
 99      0.000      0.000   2.5476       364.95       0.0000    
 100      0.000      0.000   2.8800       1418.7       0.0000    
 101      0.000      0.000   1.2518      -695.97       0.0000    
 102      0.000      0.000  0.23110      -5292.6       0.0000    
 103      0.000      0.000   5.4618       679.64       271.98    
 104      0.000      0.000   1.9985      -63.775       0.0000    
 105      0.000      0.000   5.0859       708.22       0.0000    
 106      0.000      0.000  0.60744      -788.78       0.0000    
 107      0.000      0.000   1.2278       482.27       0.0000    
 108      0.000      0.000   5.8802       467.01       0.0000    
 109      0.000      0.000   2.4633       908.42       146.32    
 110      0.000      0.000  0.41037       1010.8       0.0000    
 111      0.000      0.000   5.1342       882.96       235.30    
 112      0.000      0.000   8.7261       934.16       340.59    
 113      0.000      0.000   7.4442       797.55       326.34    
 114      0.000      0.000   5.3387       1031.1       0.0000    
 115      0.000      0.000   1.6540       191.29       0.0000    
 116      0.000      0.000   1.5303       247.24       0.0000    
 117      0.000      0.000 -0.28816      -903.97       0.0000    
 118      0.000      0.000 -0.45493       10312.       0.0000    
LAS> 

